source_case,target_case,base_package_key,base_mcs_key,repaired_package_key,sat_status,solver,duration_sec,cnf_path,manifest_path
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,no_cycle4,asymm+un+minlib,SAT,cadical,0.320725,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_un_minlib/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_un_minlib/repaired.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,no_cycle4,asymm+un+minlib,SAT,cadical,0.188311,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_un_minlib/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_un_minlib/repaired.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,minlib,asymm+un+no_cycle4,SAT,cadical,0.512173,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_un_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_un_no_cycle4/repaired.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,minlib,asymm+un+no_cycle4,SAT,cadical,0.177702,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_un_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_un_no_cycle4/repaired.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,un,asymm+minlib+no_cycle4,SAT,cadical,0.920982,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_minlib_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_minlib_no_cycle4/repaired.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,un,asymm+minlib+no_cycle4,SAT,cadical,0.30082,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_minlib_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_minlib_no_cycle4/repaired.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,asymm,un+minlib+no_cycle4,SAT,cadical,0.736045,results/20260401/repair_liftability/step2_cnfs/n2_m5/un_minlib_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n2_m5/un_minlib_no_cycle4/repaired.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,asymm,un+minlib+no_cycle4,SAT,cadical,0.261893,results/20260401/repair_liftability/step2_cnfs/n3_m4/un_minlib_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n3_m4/un_minlib_no_cycle4/repaired.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,no_cycle4,asymm+un+minlib+no_cycle3,SAT,cadical,0.430674,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_un_minlib_no_cycle3/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_un_minlib_no_cycle3/repaired.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,no_cycle4,asymm+un+minlib+no_cycle3,SAT,cadical,0.283219,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_un_minlib_no_cycle3/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_un_minlib_no_cycle3/repaired.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,minlib,asymm+un+no_cycle3+no_cycle4,SAT,cadical,0.691266,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_un_no_cycle3_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_un_no_cycle3_no_cycle4/repaired.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,minlib,asymm+un+no_cycle3+no_cycle4,SAT,cadical,0.269524,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_un_no_cycle3_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_un_no_cycle3_no_cycle4/repaired.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,un,asymm+minlib+no_cycle3+no_cycle4,SAT,cadical,1.087555,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_minlib_no_cycle3_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n2_m5/asymm_minlib_no_cycle3_no_cycle4/repaired.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,un,asymm+minlib+no_cycle3+no_cycle4,SAT,cadical,0.403376,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_minlib_no_cycle3_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n3_m4/asymm_minlib_no_cycle3_no_cycle4/repaired.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,asymm,un+minlib+no_cycle3+no_cycle4,SAT,cadical,0.897223,results/20260401/repair_liftability/step2_cnfs/n2_m5/un_minlib_no_cycle3_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n2_m5/un_minlib_no_cycle3_no_cycle4/repaired.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,asymm,un+minlib+no_cycle3+no_cycle4,SAT,cadical,0.354201,results/20260401/repair_liftability/step2_cnfs/n3_m4/un_minlib_no_cycle3_no_cycle4/repaired.cnf,results/20260401/repair_liftability/step2_cnfs/n3_m4/un_minlib_no_cycle3_no_cycle4/repaired.manifest.json
