source_case,target_case,base_package_key,base_mcs_key,removed_element,test_package_key,sat_status,solver,cnf_path,manifest_path
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,no_cycle4,no_cycle4,asymm+un+minlib+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle4/test.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,no_cycle4,no_cycle4,asymm+un+minlib+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle4/test.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,minlib,minlib,asymm+un+minlib+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle4/test.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,minlib,minlib,asymm+un+minlib+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle4/test.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,un,un,asymm+un+minlib+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle4/test.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,un,un,asymm+un+minlib+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle4/test.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle4,asymm,asymm,asymm+un+minlib+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle4/test.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle4,asymm,asymm,asymm+un+minlib+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle4/test.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,no_cycle4,no_cycle4,asymm+un+minlib+no_cycle3+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle3_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle3_no_cycle4/test.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,no_cycle4,no_cycle4,asymm+un+minlib+no_cycle3+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle3_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle3_no_cycle4/test.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,minlib,minlib,asymm+un+minlib+no_cycle3+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle3_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle3_no_cycle4/test.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,minlib,minlib,asymm+un+minlib+no_cycle3+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle3_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle3_no_cycle4/test.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,un,un,asymm+un+minlib+no_cycle3+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle3_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle3_no_cycle4/test.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,un,un,asymm+un+minlib+no_cycle3+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle3_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle3_no_cycle4/test.manifest.json
n2_m4,n2_m5,asymm+un+minlib+no_cycle3+no_cycle4,asymm,asymm,asymm+un+minlib+no_cycle3+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle3_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n2_m5/asymm_un_minlib_no_cycle3_no_cycle4/test.manifest.json
n2_m4,n3_m4,asymm+un+minlib+no_cycle3+no_cycle4,asymm,asymm,asymm+un+minlib+no_cycle3+no_cycle4,UNSAT,cadical,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle3_no_cycle4/test.cnf,results/20260401/repair_liftability/step3_cnfs/n3_m4/asymm_un_minlib_no_cycle3_no_cycle4/test.manifest.json
